segment_length=2000,segment_step=200.0m,search_width=800m
x_atc_segment_middle,gt1l_veloc,gt1l_correlationValue,gt1r_veloc,gt1r_correlationValue,gt2l_veloc,gt2l_correlationValue,gt2r_veloc,gt2r_correlationValue,gt3l_veloc,gt3l_correlationValue,gt3r_veloc,gt3r_correlationValue
29162098.504,2572.14,0.849,2250.62,0.846,3215.18,0.897,3215.18,0.876,-1848.73,0.846,-1848.73,0.845
29162298.504,3215.18,0.867,3054.42,0.866,3215.18,0.911,3215.18,0.895,-1125.31,0.885,-1044.93,0.877
29162498.504,3215.18,0.885,3215.18,0.882,3215.18,0.907,3215.18,0.907,-643.04,0.918,-723.41,0.914
29162698.504,3215.18,0.899,3215.18,0.895,3215.18,0.88,3215.18,0.911,0.0,0.934,-160.76,0.93
29162898.504,3215.18,0.901,3215.18,0.898,3215.18,0.826,3215.18,0.897,241.14,0.935,160.76,0.933
29163098.504,3215.18,0.894,3215.18,0.893,3215.18,0.738,3215.18,0.863,241.14,0.9,321.52,0.909
29163298.504,3215.18,0.889,3215.18,0.887,nan,0.621,3215.18,0.798,321.52,0.861,401.9,0.877
29163498.504,3215.18,0.877,3215.18,0.877,nan,0.643,3215.18,0.708,562.66,0.812,643.04,0.832
29163698.504,3215.18,0.851,3215.18,0.851,321.52,0.675,1366.45,0.679,562.66,0.771,723.41,0.784
29163898.504,3215.18,0.825,3215.18,0.823,160.76,0.704,964.55,0.666,401.9,0.743,401.9,0.755
29164098.504,3215.18,0.81,3215.18,0.809,321.52,0.734,964.55,0.655,803.79,0.709,643.04,0.727
29164298.504,3215.18,0.795,3215.18,0.791,321.52,0.771,884.17,0.659,562.66,0.688,803.79,0.702
29164498.504,3215.18,0.741,3215.18,0.745,241.14,0.829,401.9,0.689,562.66,0.687,401.9,0.691
29164698.504,3215.18,0.666,3215.18,0.681,321.52,0.891,321.52,0.753,482.28,0.694,803.79,0.686
29164898.504,nan,0.598,nan,0.619,321.52,0.943,321.52,0.834,241.14,0.727,321.52,0.69
29165098.504,nan,0.621,nan,0.626,401.9,0.964,401.9,0.909,241.14,0.756,321.52,0.733
29165298.504,nan,0.612,nan,0.629,884.17,0.954,643.04,0.952,321.52,0.775,321.52,0.757
29165498.504,nan,0.58,nan,0.598,1366.45,0.925,1205.69,0.954,401.9,0.752,321.52,0.74
29165698.504,nan,0.591,nan,0.592,2089.86,0.885,1848.73,0.924,321.52,0.7,401.9,0.691
29165898.504,-2009.48,0.691,-2089.86,0.679,2732.9,0.852,2009.48,0.88,nan,0.649,nan,0.631
29166098.504,-1205.69,0.753,-884.17,0.744,3215.18,0.82,2813.28,0.851,nan,0.6,nan,0.575
29166298.504,-803.79,0.809,-723.41,0.805,3215.18,0.763,3215.18,0.823,nan,0.567,nan,0.557
29166498.504,-482.28,0.878,-160.76,0.877,nan,0.622,3215.18,0.751,nan,0.609,nan,0.615
29166698.504,-241.14,0.936,241.14,0.935,nan,0.414,nan,0.624,-643.04,0.671,-2009.48,0.669
29166898.504,80.38,0.964,241.14,0.967,nan,0.294,nan,0.345,-1446.83,0.742,-1848.73,0.741
29167098.504,401.9,0.965,562.66,0.97,nan,0.3,nan,0.568,-3134.8,0.81,-3215.18,0.822
29167298.504,562.66,0.952,1044.93,0.95,nan,0.434,-3054.42,0.726,-3215.18,0.853,-3215.18,0.865
29167498.504,803.79,0.931,1044.93,0.925,nan,0.631,-2411.38,0.785,-3215.18,0.865,-3215.18,0.875
29167698.504,1125.31,0.9,1125.31,0.896,-1446.83,0.747,-1848.73,0.822,-3215.18,0.859,-3215.18,0.87
29167898.504,1687.97,0.88,1848.73,0.876,-884.17,0.821,-1366.45,0.839,-3215.18,0.832,-3215.18,0.849
29168098.504,2411.38,0.873,2652.52,0.865,-401.9,0.87,-643.04,0.864,-3215.18,0.808,-3215.18,0.829
29168298.504,3215.18,0.892,3054.42,0.88,0.0,0.908,-241.14,0.889,-3215.18,0.789,-3134.8,0.809
29168498.504,3215.18,0.89,3215.18,0.885,241.14,0.926,-241.14,0.907,-3215.18,0.781,-3215.18,0.791
29168698.504,3215.18,0.808,3215.18,0.788,321.52,0.935,-160.76,0.918,-3215.18,0.784,-2732.9,0.782
29168898.504,3215.18,0.676,nan,0.625,321.52,0.912,321.52,0.902,-2732.9,0.781,-1687.97,0.78
29169098.504,nan,0.517,nan,0.38,321.52,0.852,321.52,0.86,-1848.73,0.79,-884.17,0.792
29169298.504,nan,0.419,nan,0.439,321.52,0.788,321.52,0.814,-884.17,0.807,-80.38,0.809
29169498.504,nan,0.586,nan,0.625,321.52,0.741,803.79,0.78,-80.38,0.831,321.52,0.831
29169698.504,-482.28,0.746,-1044.93,0.778,1044.93,0.705,1205.69,0.757,401.9,0.854,643.04,0.847
29169898.504,-482.28,0.841,-321.52,0.871,562.66,0.678,1125.31,0.739,1205.69,0.867,1366.45,0.857
29170098.504,0.0,0.908,0.0,0.925,241.14,0.678,321.52,0.716,1527.21,0.867,2089.86,0.866
29170298.504,321.52,0.939,321.52,0.955,321.52,0.698,401.9,0.727,2331.0,0.852,2893.66,0.86
29170498.504,321.52,0.9,321.52,0.922,321.52,0.744,401.9,0.75,3134.8,0.844,3215.18,0.852
29170698.504,321.52,0.837,321.52,0.887,321.52,0.784,723.41,0.781,3215.18,0.831,3215.18,0.839
29170898.504,321.52,0.829,321.52,0.879,321.52,0.821,401.9,0.792,3215.18,0.807,3215.18,0.814
29171098.504,321.52,0.833,321.52,0.877,321.52,0.848,321.52,0.81,3215.18,0.79,3215.18,0.787
29171298.504,321.52,0.841,321.52,0.859,321.52,0.86,401.9,0.812,3215.18,0.764,3215.18,0.759
29171498.504,321.52,0.839,401.9,0.838,321.52,0.862,401.9,0.808,3215.18,0.733,3215.18,0.725
29171698.504,482.28,0.783,562.66,0.766,401.9,0.83,562.66,0.782,3215.18,0.7,3215.18,0.678
